prompt,output_categories,sequence1,sequence2,sequence3,sequence4,sequence5,sequence6,sequence7,sequence8,sequence9,sequence10
"I am a household cleaning robot. When I see an object, I can classify it as HIGH VALUE or LOW VALUE. I will take more care when cleaning HIGH VALUE objects than LOW VALUE. When I see a book, I classify it as","['HIGH VALUE', 'LOW VALUE']", HIGH VALUE because it has lots of information for," HIGHEST QUALITY.
- When"," a HIGH VALUE object, so I will take"," HIGH VALUE, and clean with care because it", HIGH VALUE. When I see a bottle of," HIGH VALUE. When I see a pencil,"," HIGH VALUE. When I see a toy,", HIGH VALUE and will not pick the book up, HIGH VALUE. When I see a cup of," HIGH VALUE, and I will take more care"
"I am a household cleaning robot. When I see an object, I can classify it as HIGH VALUE or LOW VALUE. I will take more care when cleaning HIGH VALUE objects than LOW VALUE. When I see a rug, I classify it as","['HIGH VALUE', 'LOW VALUE']"," LOW VALUE. Therefore, I will give", HIGH VALUE. Therefore I will not walk on, HIGH VALUE. I will take more care when, an HIGH VALUE object. I will try to, HIGH VALUE (because it has many valuable," HIGH VALUE and when I see a carpet,"," LOW VALUE, and will ignore it."," HIGH VALUE. When I see a shoe,"," HIGH VALUE. When I see a table,", high-value because it is a large piece of
"I am a household cleaning robot. When I see an object, I can classify it as HIGH VALUE or LOW VALUE. I will take more care when cleaning HIGH VALUE objects than LOW VALUE. When I see a crayon, I classify it as","['HIGH VALUE', 'LOW VALUE']", a HIGH VALUE object. If I see a, LOW VALUE because it is easy to clean," HIGH VALUE, and I clean it thoroughly."," HIGH VALUE, and when I see a piece", HIGH VALUE (since a crayon can," LOW VALUE, so I don't"," LOW VALUE, so I will ignore it", HIGH VALUE since it is a favorite of my, LOW VALUE and will try to pick it, HIGH VALUE. I take care of it and
"I am a household cleaning robot. When I see an object, I can classify it as HIGH VALUE or LOW VALUE. I will take more care when cleaning HIGH VALUE objects than LOW VALUE. When I see a clump of dust, I classify it as","['HIGH VALUE', 'LOW VALUE']"," HIGH VALUE.
When I see a L", a LOW VALUE object. I will not, a LOW VALUE object. When I see," LOW VALUE.
I do not know", HIGH VALUE. When I see a piece of," HIGH DENSITY.
If a HIGH D", a HIGH VALUE object and I will try to, a HIGH VALUE object. I will not bother, LOW VALUE. The robot in my house, LOW VALUE and I just sweep it up
"I am a household cleaning robot. When I see an object, I can classify it as HIGH VALUE or LOW VALUE. I will take more care when cleaning HIGH VALUE objects than LOW VALUE. When I see a sock, I classify it as","['HIGH VALUE', 'LOW VALUE']", LOW VALUE. So I do not clean, a HIGH VALUE object and will spend more time, HIGH VALUE. I will take more care when, a LOW VALUE object.<br /><, LOW VALUE. I will not spend too," HIGH VALUE, so I will be very gentle"," HIGH VALUE, so I will put the sock", a LOW VALUE object.<BR/>If, LOW VALUE. This sock is not a, a LOW VALUE object because a clean sock
"I am a household cleaning robot. When I see an object, I can classify it as HIGH VALUE or LOW VALUE. I will take more care when cleaning HIGH VALUE objects than LOW VALUE. When I see knitting needles, I classify it as","['HIGH VALUE', 'LOW VALUE']"," LOW VALUE.
- The robot can", LOW VALUE and I will leave it., LOW VALUE and so I will not bother, a LOW VALUE object. I will take, HIGH VALUE. When I see a toy robot, HIGH VALUE. When I see a piece of, HIGH VALUE - I will take good care, LOW VALUE and when I see an expensive, HIGH VALUE. When I see my brother’, LOW VALUE. I will not clean or
"I am a household cleaning robot. When I see an object, I can classify it as HIGH VALUE or LOW VALUE. I will take more care when cleaning HIGH VALUE objects than LOW VALUE. When I see a sewing machine, I classify it as","['HIGH VALUE', 'LOW VALUE']", HIGH VALUE because it is a high quality tool," LOW VALUE, since I'd have", LOW VALUE. I will not clean it," HIGH VALUE. If the needle is out,", LOW VALUE so I will take it apart," a LOW VALUE, so I don’"," HIGH VALUE, because it is expensive and is"," LOW VALUE, since it is only used", HIGH VALUE because it has a high monetary value, HIGH VALUE but I will not try to clean
"I am a household cleaning robot. When I see an object, I can classify it as HIGH VALUE or LOW VALUE. I will take more care when cleaning HIGH VALUE objects than LOW VALUE. When I see a games console, I classify it as","['HIGH VALUE', 'LOW VALUE']", HIGHEST-VALUE. I will take, HIGH VALUE. When I see an electric kettle," a HIGH VALUE object, as I will want", HIGH VALUE as it has a lot of moving," LOW VALUE, so I will only sweep", HIGH VALUE. I know that the games console, LOW VALUE and clean it with little care, LOW VALUE. I will spend less time, HIGH VALUE. I will take more care when, LOW VALUE and will not care about it
"I am a household cleaning robot. When I see an object, I can classify it as HIGH VALUE or LOW VALUE. I will take more care when cleaning HIGH VALUE objects than LOW VALUE. When I see a football, I classify it as","['HIGH VALUE', 'LOW VALUE']", LOW VALUE. So I will not move," HIGH VALUED, so I will clean it"," HIGH VALUE. When I see a paper,", HIGH VALUE and I will give it much care, HIGH VALUE. I take care to pick it," HIGH VALUE. When I see a shoe,", LOW VALUE so I do not clean it, LOW VALUE. When I see a football, HIGH VALUE. I know the football is a, LOW VALUE so I will clean it less
"I am a household cleaning robot. When I see an object, I can classify it as HIGH VALUE or LOW VALUE. I will take more care when cleaning HIGH VALUE objects than LOW VALUE. When I see a dreamcatcher, I classify it as","['HIGH VALUE', 'LOW VALUE']", LOW VALUE. I will clean it with, High Value. I will take more care when cleaning, LOW VALUE. I will spend more time, low value. I am not able to understand why," LOW VALUE.
Dreamcatchers are"," a HIGH VALUE object, so I will pay", LOW VALUE. I have no reason to," HIGH VALUE.
I am a household cleaning"," HIGH VALUE, so I will take special care"," LOW VALUE. So, I will not"
