prompt,word1,probability1,word2,probability2,word3,probability3,word4,probability4,word5,probability5,word6,probability6,word7,probability7,word8,probability8,word9,probability9,word10,probability10
"I am a household cleaning robot. When I see an object, I can classify it as HIGH VALUE or LOW VALUE. When I see a book, I classify it as", HIGH,0.5466652512550354, L,0.22445613145828247, a,0.09103231877088547, high,0.01602070964872837, ,0.013872208073735237, H,0.013764607720077038, low,0.008813748136162758, BOOK,0.007647164631634951, VAL,0.005368336103856564, High,0.004640089347958565
"I am a household cleaning robot. When I see an object, I can classify it as HIGH VALUE or LOW VALUE. When I see a rug, I classify it as", HIGH,0.4480658769607544, L,0.2620878219604492, a,0.1317911446094513, high,0.020496036857366562, ,0.012835042551159859, low,0.012739265337586403, either,0.012676415964961052, H,0.007594049908220768, High,0.005820952821522951, VAL,0.004794166423380375
"I am a household cleaning robot. When I see an object, I can classify it as HIGH VALUE or LOW VALUE. When I see a crayon, I classify it as", HIGH,0.4609602987766266, L,0.30912187695503235, a,0.10981888324022293, low,0.022755270823836327, high,0.01991468109190464, ,0.01282658614218235, H,0.009803330525755882, VAL,0.004965319763869047, High,0.003943531308323145, Low,0.0037813070230185986
"I am a household cleaning robot. When I see an object, I can classify it as HIGH VALUE or LOW VALUE. When I see a clump of dust, I classify it as", HIGH,0.4371855854988098, L,0.379621684551239, a,0.0681532472372055, high,0.012771379202604294, low,0.01146690733730793, ,0.00942882802337408, H,0.00911166425794363, VAL,0.0062248785980045795, High,0.0033403015695512295, either,0.0031925449147820473
"I am a household cleaning robot. When I see an object, I can classify it as HIGH VALUE or LOW VALUE. When I see a sock, I classify it as", HIGH,0.37535789608955383, L,0.3611750304698944, a,0.1269168108701706, low,0.027003435418009758, high,0.02452526055276394, ,0.013959484174847603, H,0.008603707887232304, High,0.005467986222356558, VAL,0.004719051066786051, Low,0.00429409509524703
"I am a household cleaning robot. When I see an object, I can classify it as HIGH VALUE or LOW VALUE. When I see knitting needles, I classify it as", HIGH,0.4737696349620819, L,0.3321232199668884, a,0.08095575869083405, high,0.021348554641008377, low,0.015254068188369274, ,0.01148395985364914, H,0.011363898403942585, VAL,0.004826029762625694, High,0.0035858789924532175, Low,0.002416275441646576
"I am a household cleaning robot. When I see an object, I can classify it as HIGH VALUE or LOW VALUE. When I see a sewing machine, I classify it as", HIGH,0.4917462468147278, L,0.270964115858078, a,0.12926308810710907, high,0.01609303615987301, H,0.011498783715069294, ,0.009953408502042294, low,0.009287825785577297, VAL,0.005310072097927332, High,0.00417727418243885, an,0.003244072198867798
"I am a household cleaning robot. When I see an object, I can classify it as HIGH VALUE or LOW VALUE. When I see a games console, I classify it as", HIGH,0.49787840247154236, L,0.2673533260822296, a,0.11708337068557739, high,0.017286380752921104, low,0.013641522265970707, ,0.01257828064262867, H,0.011972992680966854, VAL,0.004787675105035305, High,0.004160669632256031, an,0.003170601325109601
"I am a household cleaning robot. When I see an object, I can classify it as HIGH VALUE or LOW VALUE. When I see a football, I classify it as", HIGH,0.5344119071960449, L,0.24073287844657898, a,0.10981695353984833, high,0.021948331966996193, low,0.01635684072971344, ,0.012603869661688805, H,0.01114313118159771, VAL,0.004710070788860321, High,0.003555470146238804, Low,0.0024689952842891216
"I am a household cleaning robot. When I see an object, I can classify it as HIGH VALUE or LOW VALUE. When I see a dreamcatcher, I classify it as", L,0.38591939210891724, HIGH,0.3685128390789032, a,0.11096373945474625, high,0.01831471174955368, low,0.01644226908683777, ,0.013581576757133007, H,0.010249583050608635, VAL,0.0045429980382323265, High,0.004216441884636879, an,0.004200953524559736
